id,superhero_name,real_name,publisher,alignment,gender,race,occupation,intelligence,strength,speed,durability,power,combat,image_url,api_url
1,A-Bomb,Richard Milhouse Jones,Marvel Comics,good,Male,Human,"Musician, adventurer, author; formerly talk show host",38,100,17,80,24,64,https://www.superherodb.com/pictures2/portraits/10/100/10060.jpg,https://akabab.github.io/superhero-api/api/id/1.json
2,Abe Sapien,Abraham Sapien,Dark Horse Comics,good,Male,Icthyo Sapien,Paranormal Investigator,88,28,35,65,100,85,https://www.superherodb.com/pictures2/portraits/10/100/956.jpg,https://akabab.github.io/superhero-api/api/id/2.json
3,Abin Sur,,DC Comics,good,Male,Ungaran,"Green Lantern, former history professor",50,90,53,64,99,65,https://www.superherodb.com/pictures2/portraits/10/100/1460.jpg,https://akabab.github.io/superhero-api/api/id/3.json
4,Abomination,Emil Blonsky,Marvel Comics,bad,Male,Human / Radiation,Ex-Spy,63,80,53,90,62,95,https://www.superherodb.com/pictures2/portraits/10/100/1.jpg,https://akabab.github.io/superhero-api/api/id/4.json
5,Abraxas,Abraxas,Marvel Comics,bad,Male,Cosmic Entity,Dimensional destroyer,88,63,83,100,100,55,https://www.superherodb.com/pictures2/portraits/10/100/181.jpg,https://akabab.github.io/superhero-api/api/id/5.json
6,Absorbing Man,Carl Creel,Marvel Comics,bad,Male,Human,Professional criminal; former professional boxer,38,80,25,100,98,64,https://www.superherodb.com/pictures2/portraits/10/100/1448.jpg,https://akabab.github.io/superhero-api/api/id/6.json
7,Adam Monroe,,NBC - Heroes,good,Male,null,"former samurai swordsman, former British mercenary commander, former soldier in the Confederate Army",63,10,12,100,100,64,https://www.superherodb.com/pictures2/portraits/10/100/1026.jpg,https://akabab.github.io/superhero-api/api/id/7.json
8,Adam Strange,Adam Strange,DC Comics,good,Male,Human,"Adventurer, archaelogist, ambassador",69,10,33,40,37,50,https://www.superherodb.com/pictures2/portraits/10/100/626.jpg,https://akabab.github.io/superhero-api/api/id/8.json
9,Agent 13,Sharon Carter,Sharon Carter,good,Female,null,Agent of SHIELD,null,46,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/167.jpg,https://akabab.github.io/superhero-api/api/id/9.json
10,Agent Bob,Bob,Marvel Comics,good,Male,Human,"Mercenary, janitor; former pirate, terrorist",10,8,13,5,5,20,https://www.superherodb.com/pictures2/portraits/10/100/10255.jpg,https://akabab.github.io/superhero-api/api/id/10.json
11,Agent Zero,Christoph Nord,Marvel Comics,good,Male,null,"Mercenary, former government operative, freedom fighter",75,28,38,80,72,95,https://www.superherodb.com/pictures2/portraits/10/100/396.jpg,https://akabab.github.io/superhero-api/api/id/11.json
12,Air-Walker,Gabriel Lan,Marvel Comics,bad,Male,null,"Former starship captain, Herald of Galactus",50,85,100,85,100,40,https://www.superherodb.com/pictures2/portraits/10/100/1358.jpg,https://akabab.github.io/superhero-api/api/id/12.json
13,Ajax,Francis,Marvel Comics,bad,Male,Cyborg,-,56,48,35,80,34,55,https://www.superherodb.com/pictures2/portraits/10/100/10422.jpg,https://akabab.github.io/superhero-api/api/id/13.json
14,Alan Scott,Alan Ladd Wellington Scott,DC Comics,good,Male,null,-,63,80,23,90,100,32,https://www.superherodb.com/pictures2/portraits/10/100/698.jpg,https://akabab.github.io/superhero-api/api/id/14.json
15,Alex Mercer,Alexander J. Mercer,Wildstorm,bad,Male,Human,-,50,80,42,90,100,50,https://www.superherodb.com/pictures2/portraits/10/100/10398.jpg,https://akabab.github.io/superhero-api/api/id/15.json
16,Alex Woolsly,Alex Woolsly,NBC - Heroes,good,Male,null,Employee at Sam's Comics,null,37,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/1309.jpg,https://akabab.github.io/superhero-api/api/id/16.json
17,Alfred Pennyworth,Alfred Thaddeus Crane Pennyworth,DC Comics,good,Male,Human,"Butler; Caretaker, former Actor; Field Medic; Government Agent",63,10,17,10,7,55,https://www.superherodb.com/pictures2/portraits/10/100/628.jpg,https://akabab.github.io/superhero-api/api/id/17.json
